0.9500000,36.0
1.2500000,42.8
1.4500000,45.0
1.9500000,51.2
2.9500000,55.2
4.9500000,57.4
6.9500000,58.4
8.9500000,59.4
10.950000,59.8
12.950000,60.0
14.950000,60.5
16.950000,60.0
18.950000,58.4
20.950000,56.8
22.950000,55.8
24.950000,55.4
26.950000,55.2
28.950000,54.4
30.950000,53.6
32.950000,53.6
34.950000,52.8
36.950000,52.0
38.950000,51.2
40.950000,50.4
42.950000,49.6
44.950000,48.8
46.950000,48.0
48.950000,47.2
50.950000,46.6
55.950000,46.4
60.950000,42.8
65.950000,42.4
70.950000,42.0
75.950000,41.6
79.950000,41.2
116.95000,37.6
128.95000,41.6
142.45000,36.8
