0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0005	0.00001	0.001	0.00001	0.00075	0.00001	0.001	0.00001	0.0015	0.00001	0.0002	0.00001	0.002	0.00001	0.00225	0.00001	0.0025	0.00002	0.00275	0.00001
0.00075	0.00001	0.001	0.00002	0.00125	0.00002	0.0015	0.00002	0.002	0.00002	0.0025	0.00003	0.003	0.00003	0.00325	0.00003	0.005	0.00004	0.0045	0.00004
0.0025	0.00002	0.004	0.00003	0.005	0.00004	0.01325	0.00005	0.00975	0.00006	0.014	0.00007	0.01625	0.00008	0.01075	0.00008	0.0225	0.0001	0.02675	0.00011
0.001	0.00003	0.002	0.00004	0.0025	0.00005	0.0065	0.00006	0.00475	0.00007	0.00575	0.00008	0.00575	0.00009	0.0035	0.00011	0.0085	0.00012	0.009	0.00013
0.0025	0.00004	0.005	0.00006	0.00725	0.00007	0.0105	0.00008	0.01175	0.0001	0.0135	0.00011	0.0155	0.00013	0.0075	0.00015	0.017	0.00016	0.017	0.00018
0.00275	0.00005	0.0055	0.00007	0.0075	0.00008	0.00675	0.0001	0.0045	0.00012	0.0105	0.00014	0.011	0.00016	0.00875	0.00018	0.0115	0.0002	0.01125	0.00022
0.003	0.00006	0.00625	0.00008	0.0075	0.0001	0.007	0.00012	0.009	0.00015	0.009	0.00016	0.0095	0.00019	0.00925	0.00022	0.009	0.00023	0.00825	0.00027
0.00425	0.00007	0.0065	0.0001	0.0075	0.00012	0.00725	0.00014	0.00825	0.00017	0.008	0.00018	0.00825	0.00022	0.008	0.00026	0.007	0.00028	0.0065	0.00032
0.005	0.00008	0.007	0.00012	0.0075	0.00014	0.008	0.00016	0.0075	0.0002	0.008	0.00023	0.0065	0.00026	0.00625	0.0003	0.006	0.00032	0.005	0.00036
0.00825	0.0001	0.00975	0.00014	0.00875	0.00016	0.00975	0.0002	0.0095	0.00024	0.00875	0.00028	0.008	0.00031	0.00725	0.00036	0.007	0.00039	0.006	0.00044
0.012	0.00013	0.0135	0.00018	0.013	0.00021	0.009	0.00025	0.01	0.0003	0.0075	0.00034	0.0085	0.0004	0.00775	0.00047	0.007	0.0005	0.00675	0.00056
0.01175	0.00016	0.0115	0.00022	0.0105	0.00026	0.00675	0.0003	0.00725	0.00037	0.0055	0.0004	0.006	0.00049	0.006	0.00058	0.0055	0.00062	0.0055	0.00071
0.0145	0.00022	0.0125	0.00029	0.0105	0.00034	0.00825	0.00038	0.009	0.0005	0.0057	0.00052	0.00725	0.00066	0.007	0.00077	0.0065	0.00082	0.00675	0.00094
0.00975	0.00027	0.0075	0.00036	0.00675	0.00043	0.006	0.00047	0.00575	0.00062	0.00575	0.00065	0.00475	0.0008	0.005	0.00095	0.005	0.00101	0.005	0.00115
0.00675	0.00031	0.005	0.00042	0.005	0.00051	0.0035	0.00054	0.00425	0.00074	0.0035	0.00075	0.004	0.00097	0.00425	0.00113	0.004	0.00121	0.00425	0.00138
-0.002	0.00026	-0.002	0.00036	-0.002	0.00043	0.00175	0.00047	-0.0025	0.00062	-0.0025	0.00066	-0.003	0.00082	-0.00275	0.00096	-0.003	0.00102	-0.00325	0.00116
-0.0025	0.00022	-0.0025	0.00029	-0.0025	0.00035	-0.00275	0.00038	-0.00325	0.00051	-0.0035	0.00053	-0.0035	0.00067	-0.00325	0.00078	-0.004	0.00083	-0.00375	0.00094
