-0.0065	0.00001	-0.0075	0.00001	-0.0085	0.00002	-0.01	0.00002	-0.011	0.00002	-0.012	0.00003	-0.012	0.00003	-0.0125	0.00003	-0.014	0.00004	-0.014	0.00004
-0.0025	0	-0.003	0	-0.0035	0.00001	-0.0045	0.00001	-0.005	0.00001	-0.005	0.00001	-0.005	0.00001	-0.006	0.00001	-0.007	0.00002	-0.0065	0.00001
-0.0025	0	-0.003	0	-0.0035	0	-0.004	0	-0.0055	0	-0.0055	0	-0.006	0	-0.0065	0	-0.008	0	-0.008	0
-0.0025	0	-0.003	0	-0.004	-0.00001	-0.005	-0.00001	-0.006	-0.00001	-0.0065	-0.00001	-0.0075	-0.00001	-0.008	-0.00001	-0.009	-0.00002	-0.01	-0.00001
-0.003	-0.00001	-0.004	-0.00001	-0.005	-0.00002	-0.006	-0.00002	-0.0075	-0.00002	-0.009	-0.00003	-0.01	-0.00003	-0.0115	-0.00003	-0.014	-0.00004	-0.0155	-0.00004
-0.0105	-0.00002	-0.013	-0.00003	-0.02	-0.00004	-0.029	-0.00005	-0.0415	-0.00006	-0.06	-0.00006	-0.072	-0.00008	-0.09	-0.00009	-0.105	-0.0001	-0.119	-0.00011
-0.004	-0.00003	-0.006	-0.00004	-0.01	-0.00005	-0.0135	-0.00006	-0.026	-0.00007	-0.033	-0.00008	-0.034	-0.00009	-0.036	-0.00011	-0.038	-0.00011	-0.037	-0.00013
-0.0115	-0.00004	-0.019	-0.00005	-0.037	-0.00007	-0.043	-0.00008	-0.062	-0.0001	-0.061	-0.00011	-0.036	-0.00013	-0.065	-0.00015	-0.064	-0.00016	-0.062	-0.00018
-0.0135	-0.00005	-0.024	-0.00007	-0.039	-0.00009	-0.038	-0.0001	-0.0435	-0.00013	-0.041	-0.00014	-0.041	-0.00016	-0.0385	-0.00018	-0.037	-0.0002	-0.0325	-0.00022
-0.02	-0.00006	-0.031	-0.00008	-0.0355	-0.00011	-0.0315	-0.00012	-0.0345	-0.00015	-0.0315	-0.00017	-0.028	-0.00019	-0.0255	-0.00022	-0.024	-0.00024	-0.0205	-0.00026
-0.026	-0.00007	-0.027	-0.00009	-0.031	-0.00012	-0.026	-0.00013	-0.023	-0.00017	-0.0235	-0.00019	-0.0215	-0.00023	-0.0175	-0.00026	-0.016	-0.00028	-0.0145	-0.00031
-0.0265	-0.00008	-0.034	-0.00011	-0.0265	-0.00014	-0.0245	-0.00015	-0.0225	-0.0002	-0.02	-0.00022	-0.0155	-0.00026	-0.013	-0.0003	-0.012	-0.00032	-0.011	-0.00036
-0.036	-0.0001	-0.035	-0.00013	-0.0295	-0.00017	-0.026	-0.00018	-0.0225	-0.00025	-0.019	-0.00027	-0.017	-0.00032	-0.0145	-0.00036	-0.015	-0.00039	-0.013	-0.00043
-0.041	-0.00013	-0.038	-0.00017	-0.031	-0.00021	-0.0205	-0.00023	-0.0215	-0.00032	-0.0145	-0.00033	-0.017	-0.00041	-0.015	-0.00047	-0.014	-0.00048	-0.014	-0.00055
-0.031	-0.00016	-0.025	-0.00021	-0.02	-0.00026	-0.0135	-0.00027	-0.015	-0.00039	-0.011	-0.0004	-0.013	-0.00051	-0.0115	-0.00058	-0.01	-0.00062	-0.0115	-0.00069
-0.0305	-0.00021	-0.026	-0.00028	-0.021	-0.00036	-0.0165	-0.00035	-0.016	-0.00052	-0.0145	-0.00052	-0.015	-0.00066	-0.0135	-0.00077	-0.015	-0.00082	-0.0135	-0.00091
-0.018	-0.00026	-0.015	-0.00035	-0.012	-0.00044	-0.011	-0.00044	-0.011	-0.00064	-0.011	-0.00064	-0.01	-0.00082	-0.0105	-0.00096	-0.011	-0.00101	-0.01	-0.00113
-0.013	-0.00031	-0.01	-0.00041	-0.009	-0.00052	-0.0075	-0.00051	-0.0085	-0.00076	-0.0065	-0.00073	-0.0085	-0.00098	-0.008	-0.00115	-0.009	-0.00121	-0.008	-0.00134
0.004	-0.00027	0.004	-0.00035	0.0045	-0.00044	0.0035	-0.00045	0.005	-0.00065	0.0045	-0.00065	0.0065	-0.00083	0.006	-0.00096	0.005	-0.00102	0.006	-0.00114
0.005	-0.00022	0.005	-0.00029	0.0055	-0.00036	0.005	-0.00037	0.0065	-0.00053	0.0065	-0.00053	0.007	-0.00068	0.007	-0.00078	0.006	-0.00083	0.007	-0.00093
0.0055	-0.00017	0.006	-0.00022	0.007	-0.00028	0.0055	-0.00029	0.008	-0.0004	0.007	-0.00041	0.0085	-0.00052	0.009	-0.00059	0.008	-0.00063	0.009	-0.0007
0.0045	-0.00013	0.005	-0.00018	0.005	-0.00022	0.004	-0.00025	0.006	-0.00032	0.0045	-0.00035	0.006	-0.00042	0.0065	-0.00047	0.006	-0.0005	0.0065	-0.00056
0.0045	-0.0001	0.005	-0.00014	0.0055	-0.00017	0.004	-0.00021	0.0065	-0.00025	0.005	-0.00028	0.006	-0.00033	0.007	-0.00037	0.006	-0.0004	0.007	-0.00044
0.0035	-0.00008	0.004	-0.00012	0.004	-0.00014	0.004	-0.00017	0.005	-0.00021	0.005	-0.00023	0.005	-0.00027	0.0055	-0.0003	0.005	-0.00032	0.0055	-0.00036
0.0025	-0.00007	0.003	-0.0001	0.003	-0.00012	0.003	-0.00014	0.0035	-0.00018	0.004	-0.0002	0.0035	-0.00023	0.004	-0.00026	0.003	-0.00028	0.004	-0.00031
0.0025	-0.00006	0.003	-0.00008	0.003	-0.00011	0.003	-0.00012	0.0035	-0.00015	0.0035	-0.00017	0.0035	-0.0002	0.004	-0.00022	0.003	-0.00024	0.004	-0.00027
0.0025	-0.00005	0.003	-0.00007	0.003	-0.00009	0.003	-0.0001	0.004	-0.00013	0.004	-0.00014	0.0035	-0.00016	0.0045	-0.00019	0.004	-0.0002	0.004	-0.00022
